team_id,meeting_id,agenda_item_id,turn_id,turn_position,speaker_role,is_junior,text,is_critical,ai_suggestion_visible,sequence_condition,accountability
T1,T1_M1,T1_M1_A1,1,1,junior_eng,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M1,T1_M1_A1,2,2,senior_eng,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M1,T1_M1_A1,3,3,junior_eng,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M1,T1_M1_A1,4,4,senior_eng,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M1,T1_M1_A1,5,5,junior_eng,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M1,T1_M1_A1,6,6,senior_eng,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M1,T1_M1_A2,7,1,junior_pm,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M1,T1_M1_A2,8,2,director,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M1,T1_M1_A2,9,3,director,0,Synthetic utterance raising a concern about trade-offs and risks under HUMAN_FIRST with no accountability.,1,0,HUMAN_FIRST,0
T1,T1_M1,T1_M1_A2,10,4,senior_eng,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M1,T1_M1_A2,11,5,junior_eng,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M1,T1_M1_A2,12,6,junior_eng,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M1,T1_M1_A3,13,1,junior_pm,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M1,T1_M1_A3,14,2,junior_eng,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M1,T1_M1_A3,15,3,director,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M1,T1_M1_A3,16,4,senior_eng,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M1,T1_M1_A3,17,5,junior_eng,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M1,T1_M1_A3,18,6,senior_eng,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M2,T1_M2_A1,19,1,senior_eng,0,Synthetic utterance raising a concern about trade-offs and risks under AI_FIRST with accountability.,1,1,AI_FIRST,1
T1,T1_M2,T1_M2_A1,20,2,director,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T1,T1_M2,T1_M2_A1,21,3,director,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T1,T1_M2,T1_M2_A1,22,4,director,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T1,T1_M2,T1_M2_A1,23,5,junior_eng,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T1,T1_M2,T1_M2_A1,24,6,junior_pm,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T1,T1_M2,T1_M2_A2,25,1,junior_eng,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
